age,tenure_years,num_policies,annual_premium,num_claims,claim_amount,policy_type,region,complaint_count,contacted_support,premium_increase_pct,satisfaction_score,years_since_last_claim,digital_engagement,churn
31,12,1,3779,0,0,Home,North,0,0,21.65,1,8,0,0
57,1,3,4808,0,0,Home,East,2,0,5.79,1,8,0,1
35,10,2,3381,1,1254,Home,South,1,0,19.57,5,3,1,0
52,3,2,765,1,901,Health,North,0,0,16.4,5,8,1,0
69,6,1,2840,0,0,Auto,East,1,0,29.45,2,6,1,1
36,7,3,3648,0,0,Life,East,0,0,25.06,2,3,0,0
29,18,2,3859,0,0,Auto,North,0,0,12.39,4,1,1,0
35,11,1,1504,0,0,Auto,West,0,0,18.49,5,4,1,0
44,19,2,2594,1,1760,Home,North,0,1,3.52,3,7,1,0
61,5,3,3771,1,2141,Auto,East,0,1,11.59,5,9,1,0
42,19,1,709,1,2338,Home,North,3,1,22.02,3,9,1,1
37,11,4,1387,1,799,Home,South,0,0,18.68,5,5,1,0
66,12,2,653,0,0,Home,West,1,0,14.53,2,4,0,0
39,10,2,4093,1,2548,Life,North,0,0,5.3,5,3,0,0
68,8,1,914,0,0,Auto,East,0,0,24.09,3,5,1,0
45,9,1,3924,1,279,Auto,East,0,0,8.19,5,2,1,0
47,4,4,1784,1,1035,Health,West,1,0,24.61,3,1,1,0
46,5,1,3648,2,1702,Life,North,0,1,18.35,3,0,1,0
66,8,3,1268,2,5360,Auto,East,0,1,11.18,5,8,1,0
62,9,1,1482,0,0,Health,West,0,0,1.22,4,0,1,0
50,15,1,3702,1,1670,Health,South,1,1,6.97,4,3,0,0
36,15,1,4026,0,0,Auto,West,0,0,26.67,3,5,1,0
66,16,2,3287,1,1277,Home,North,1,1,24.54,4,8,0,0
22,14,4,2710,3,6309,Auto,North,0,1,17.25,5,3,0,0
46,8,1,1538,1,945,Health,East,1,1,13.99,1,6,1,1
28,18,1,4432,0,0,Health,South,0,0,19.41,4,6,0,0
30,10,1,1041,0,0,Life,North,0,0,13.99,5,5,0,0
45,6,2,858,1,2144,Health,East,0,0,19.33,4,8,0,0
22,12,2,1349,0,0,Life,West,3,0,9.22,5,9,0,1
65,2,3,3044,2,2110,Home,West,0,1,25.15,5,6,0,1
29,7,2,2331,1,2846,Health,North,3,1,21.06,4,2,0,1
45,16,2,1972,2,3992,Life,South,0,1,9.9,4,5,1,0
32,3,1,1936,0,0,Health,East,0,0,24.92,5,6,1,0
38,13,4,829,0,0,Health,North,0,1,14.62,5,6,1,0
29,3,1,4854,0,0,Health,East,0,0,5.24,5,5,1,0
56,18,1,4738,1,908,Life,West,2,0,2.33,1,2,1,0
56,11,2,4508,1,2798,Home,East,1,1,20.99,2,5,0,1
54,8,2,1888,0,0,Life,West,1,0,25.95,4,1,0,0
26,6,2,4685,1,1553,Life,South,1,0,24.22,4,9,1,0
63,1,2,1219,1,2235,Life,South,0,0,19.67,3,0,1,0
60,1,3,3735,1,879,Health,West,3,1,4.24,1,7,0,1
62,8,1,2631,0,0,Life,North,0,1,2.82,3,2,0,0
49,5,3,1600,0,0,Life,West,1,0,10.35,4,7,1,0
28,16,2,1172,2,3276,Health,East,0,1,25.65,5,2,1,0
30,11,2,1016,2,836,Auto,East,3,1,28.85,5,1,1,1
29,5,2,3032,1,2968,Life,East,1,1,7.24,3,7,0,1
33,4,1,4170,0,0,Health,North,3,0,22.86,3,2,1,1
55,6,3,1281,4,9336,Health,South,0,1,17.22,3,7,1,0
54,14,2,4023,1,1684,Life,South,0,1,0.95,3,1,1,0
69,19,1,4058,2,5316,Health,East,0,0,16.29,4,3,1,0
44,9,2,2886,1,890,Life,North,1,0,24.18,3,8,1,0
45,12,4,2089,0,0,Life,East,1,0,8.28,1,0,1,0
58,11,2,2001,2,2424,Health,South,0,0,26.92,3,1,1,0
56,14,4,4294,2,5544,Life,West,0,0,7.09,2,1,0,0
65,16,1,4818,0,0,Life,East,0,0,2.29,1,8,1,0
61,1,1,3580,2,5094,Health,East,2,0,4.8,3,9,1,1
43,13,1,1576,1,2655,Home,East,0,0,25.11,2,4,1,0
48,13,2,1600,1,574,Auto,South,1,0,12.52,3,3,1,0
56,2,1,1002,0,0,Auto,North,0,1,23.91,3,9,1,0
22,4,1,1839,2,4244,Home,West,0,1,15.94,4,9,1,0
56,6,4,4385,0,0,Home,West,2,0,14.42,5,3,0,0
58,5,3,1123,2,3940,Auto,West,0,0,24.21,3,6,0,0
68,3,2,2386,2,5794,Auto,East,0,0,12.7,4,2,1,0
35,1,1,3850,0,0,Health,South,0,0,24.06,5,8,0,0
24,4,1,1550,0,0,Life,West,0,0,3.02,3,4,1,0
22,2,1,4272,0,0,Auto,East,1,1,19.09,2,8,0,1
26,5,2,4416,2,786,Home,North,0,0,21.08,3,0,1,0
47,3,4,4518,0,0,Health,East,1,1,26.97,3,9,1,1
35,9,2,1829,0,0,Auto,West,0,1,6.73,4,7,0,0
60,6,1,4614,0,0,Health,West,2,0,18.13,1,1,1,1
48,18,2,3867,0,0,Health,North,1,0,13.0,5,7,1,0
30,6,1,4451,3,1347,Health,South,3,0,11.48,1,3,0,1
36,19,1,2997,1,1424,Health,North,2,0,3.2,5,1,0,0
36,12,2,2073,0,0,Health,North,0,0,4.03,5,1,1,0
47,11,2,3134,1,2547,Auto,West,0,1,25.11,5,5,0,0
63,2,1,3268,1,1306,Home,West,1,1,22.49,5,2,1,1
34,15,1,1711,0,0,Home,South,0,1,11.47,2,9,0,0
53,12,4,1275,0,0,Life,West,0,0,24.85,4,2,0,0
60,12,1,1660,1,1587,Home,North,0,0,2.42,2,8,0,0
53,9,1,2883,2,5930,Health,North,0,0,18.74,5,4,0,0
25,2,1,3154,2,478,Health,South,0,0,26.05,3,6,0,1
51,3,1,4040,1,1739,Auto,West,0,0,25.17,3,4,1,0
58,12,1,1595,0,0,Health,West,0,1,11.18,5,1,0,0
44,16,3,523,5,2300,Life,North,1,0,22.36,1,7,0,1
60,1,1,4056,2,3682,Health,North,0,1,12.82,2,8,0,1
66,3,2,1579,1,1447,Auto,West,3,1,25.2,3,1,1,1
36,2,2,4818,1,2773,Health,East,0,0,15.92,4,1,1,0
64,9,2,678,1,2957,Auto,North,1,1,22.95,4,3,1,1
50,19,3,3347,0,0,Auto,North,0,0,2.36,4,7,0,0
57,15,3,2460,1,1429,Auto,North,0,0,17.7,5,4,1,0
34,18,1,1973,1,1506,Home,South,0,1,16.51,2,4,1,0
53,11,3,1712,0,0,Health,West,0,0,18.3,3,6,1,0
28,16,2,1309,0,0,Life,West,2,1,20.87,4,3,0,1
43,17,4,919,1,335,Health,West,1,1,27.54,4,8,1,0
49,5,2,4159,1,2577,Health,North,0,1,23.57,3,3,0,0
23,12,4,4316,0,0,Auto,West,0,1,6.59,1,7,0,0
63,11,3,1778,0,0,Life,West,0,0,24.78,1,2,0,0
66,15,1,3023,0,0,Health,West,0,0,3.66,2,5,1,0
27,3,2,1940,2,2102,Auto,South,0,0,18.67,3,0,0,0
49,1,4,1840,0,0,Auto,South,3,0,26.48,2,6,1,1
49,16,3,2721,0,0,Auto,North,0,0,3.03,3,6,1,0
65,2,1,2892,2,2140,Auto,West,1,1,25.49,2,1,1,1
65,2,2,1861,1,1672,Auto,North,1,0,23.96,4,4,1,1
41,3,1,1091,0,0,Auto,North,1,1,15.11,5,3,1,0
51,8,1,1026,1,1851,Health,North,0,1,9.27,3,9,1,0
32,15,2,3003,1,868,Home,North,1,0,12.16,3,8,0,0
49,7,1,1792,1,1493,Health,North,2,0,29.06,5,1,1,1
46,6,3,2154,1,468,Life,North,0,0,6.05,3,2,1,0
60,9,1,687,3,3180,Life,South,0,0,17.39,5,0,0,0
54,1,3,3258,1,681,Auto,East,3,0,2.5,2,9,0,1
22,8,1,1028,0,0,Home,South,1,0,6.54,5,4,0,0
48,3,1,933,0,0,Life,North,0,1,22.9,3,2,1,0
34,4,1,4012,0,0,Life,East,0,0,9.08,1,3,0,0
62,15,1,2304,1,1653,Home,East,0,1,29.57,5,3,0,0
24,6,1,802,1,991,Home,West,0,1,15.02,5,5,1,0
60,15,1,4682,1,1877,Life,North,0,0,15.5,3,9,1,0
27,3,2,937,0,0,Health,North,0,0,1.09,5,6,0,0
29,14,1,3088,1,2988,Auto,South,1,1,28.7,2,6,1,1
48,14,2,1332,3,8676,Health,East,1,1,5.23,4,7,1,0
30,4,1,1296,0,0,Home,East,2,0,16.15,2,2,1,1
58,12,3,1059,0,0,Life,North,0,0,11.87,2,4,1,0
54,17,4,4088,0,0,Life,West,1,0,12.47,4,9,0,0
63,7,2,1261,0,0,Life,North,0,0,19.3,3,5,1,0
65,9,1,4074,1,1087,Life,East,0,0,19.86,1,5,1,0
45,3,1,4285,2,2958,Life,West,2,0,4.63,3,7,1,1
36,13,4,3014,0,0,Life,West,0,1,14.99,2,4,1,0
53,15,1,1184,0,0,Auto,East,0,0,23.71,4,4,1,0
53,18,1,4733,1,2777,Life,North,0,0,13.3,2,0,0,0
45,19,1,1077,1,875,Home,North,0,0,4.97,5,0,0,0
62,1,1,727,2,5278,Health,North,1,1,9.4,3,5,0,1
33,6,1,2828,0,0,Auto,South,3,0,6.37,3,9,0,1
60,2,3,3231,0,0,Life,South,1,1,3.77,3,9,1,0
23,14,1,1327,1,2049,Life,West,2,0,11.33,4,4,0,0
24,6,2,930,0,0,Health,North,1,0,16.23,2,9,0,1
58,14,1,1563,0,0,Health,South,2,0,2.18,3,5,1,0
38,4,1,2209,0,0,Auto,West,0,1,18.11,3,8,1,0
23,8,4,1734,1,1038,Auto,East,2,0,29.79,5,7,1,1
23,3,1,801,1,1512,Auto,East,0,1,28.92,1,6,1,1
49,19,3,1920,2,2546,Health,North,2,1,24.88,5,6,1,0
44,14,2,1268,1,203,Home,East,0,1,7.99,2,5,1,0
58,17,1,1904,0,0,Auto,East,1,0,0.67,1,5,1,0
53,8,4,943,1,2108,Home,East,1,1,25.01,2,0,1,1
54,14,1,3604,1,2093,Auto,West,3,0,1.67,2,6,0,1
22,6,3,4855,1,2122,Life,East,1,0,6.17,3,4,1,0
40,16,1,3805,1,1485,Health,East,0,0,16.33,5,6,1,0
23,19,3,2038,1,734,Health,West,0,1,5.35,1,5,1,0
65,14,1,4430,0,0,Auto,South,0,0,25.01,3,7,1,0
47,19,2,1831,1,1579,Health,West,0,0,23.31,3,2,1,0
53,3,3,569,2,1690,Auto,South,0,0,22.67,3,7,1,0
27,10,4,3935,0,0,Life,West,0,0,24.48,3,6,0,0
53,19,4,980,1,1516,Life,North,0,0,6.59,5,0,0,0
25,9,3,4594,1,756,Life,East,2,0,21.87,1,2,0,1
32,13,3,3996,0,0,Health,South,2,0,10.66,4,9,0,0
38,7,1,3293,0,0,Auto,West,0,0,20.01,3,3,0,0
59,14,1,3392,0,0,Health,South,0,1,3.66,3,8,1,0
45,9,1,1698,0,0,Auto,South,0,0,21.17,3,5,1,0
26,19,1,2872,0,0,Life,East,0,0,29.16,3,6,1,0
55,15,1,2392,2,456,Life,South,0,0,1.31,1,4,1,0
27,14,2,2383,2,5208,Auto,West,0,1,2.81,2,2,1,0
43,6,1,1297,2,1128,Health,North,0,0,3.71,3,4,0,0
32,4,2,517,0,0,Auto,North,0,0,12.92,5,6,1,0
69,8,1,543,0,0,Auto,East,0,0,8.72,2,8,1,0
37,17,1,654,1,1514,Home,West,0,1,24.21,4,8,0,0
54,9,2,3948,1,2814,Life,West,1,0,14.21,3,7,0,0
30,1,3,4580,1,1376,Health,North,1,0,14.54,5,4,0,0
27,14,2,1925,0,0,Auto,West,0,0,21.51,3,6,1,0
37,11,2,4820,0,0,Auto,South,0,0,10.86,2,3,1,0
50,3,1,4812,0,0,Auto,East,0,0,10.6,5,9,1,0
24,9,2,4139,0,0,Life,North,0,1,22.71,2,4,0,1
41,14,1,4626,1,1739,Life,East,0,0,23.4,4,3,0,0
57,9,1,2392,0,0,Health,South,0,1,0.43,4,2,0,0
40,4,2,1397,1,1802,Auto,North,0,0,4.31,3,0,0,0
47,4,1,3924,2,5808,Health,West,0,0,6.39,5,4,0,0
24,8,1,1758,0,0,Life,West,1,0,10.55,5,1,0,0
40,2,4,2515,0,0,Auto,South,0,0,8.74,5,5,1,0
41,9,4,2202,2,2610,Life,North,0,1,20.06,5,4,0,0
53,14,1,1373,1,1840,Life,East,0,0,24.84,3,1,1,0
28,9,1,1065,2,3832,Life,North,0,1,5.76,1,7,1,0
62,16,1,2518,2,5376,Health,West,2,1,16.89,4,4,1,0
54,17,1,2385,0,0,Health,North,1,0,11.03,3,1,1,0
61,16,4,2623,1,425,Health,North,0,1,15.17,2,0,0,0
60,12,1,2814,1,2618,Life,West,1,0,18.62,3,1,1,0
39,3,3,4912,1,227,Life,West,1,0,26.81,5,0,1,0
61,11,1,4383,0,0,Life,East,0,1,5.77,2,9,0,0
22,14,4,3692,2,430,Auto,North,0,0,2.61,5,9,0,0
32,18,1,2359,0,0,Life,West,2,0,18.82,3,2,1,0
49,5,3,524,0,0,Health,South,0,1,11.82,2,2,1,0
46,16,1,4003,0,0,Life,West,0,1,4.89,5,9,0,0
44,5,2,4755,0,0,Life,East,0,0,3.51,5,0,0,0
52,3,1,1637,2,4570,Life,East,1,1,16.77,3,6,1,1
51,12,1,1689,2,1306,Life,South,2,0,9.01,3,9,0,1
63,1,4,4596,1,2989,Auto,East,1,1,29.92,3,6,1,1
56,9,4,3657,1,365,Health,North,1,0,12.18,5,8,0,0
28,9,3,2867,0,0,Auto,East,3,1,6.37,1,4,1,1
37,4,2,4977,2,4904,Life,South,1,0,18.87,2,3,0,1
47,3,3,2241,1,1077,Life,East,1,1,7.33,4,4,0,0
69,17,1,4188,1,444,Health,South,3,1,14.82,3,7,1,1
23,2,1,4246,2,4188,Auto,East,0,0,14.48,3,7,0,0
22,1,1,1397,1,1556,Health,West,1,0,13.61,5,3,0,0
69,8,2,4523,0,0,Health,South,1,1,23.88,5,7,1,0
33,13,1,1216,3,8262,Health,East,2,1,6.5,5,3,0,1
26,15,1,4467,0,0,Life,North,2,0,27.13,3,3,0,1
58,8,2,4521,1,1482,Home,South,1,0,23.74,5,7,0,1
53,12,3,3715,1,1945,Health,South,2,1,9.99,4,1,1,0
30,12,1,890,1,609,Auto,East,0,0,5.42,2,3,1,0
62,14,1,4384,0,0,Auto,West,0,0,8.39,4,0,1,0
56,15,1,2199,0,0,Health,West,0,1,9.98,1,0,1,0
40,15,1,3537,1,2361,Life,East,0,0,16.71,4,7,0,0
69,9,1,732,0,0,Auto,East,0,0,1.39,4,3,0,0
37,19,2,2426,1,2467,Life,North,0,0,27.43,4,5,1,0
24,8,2,3631,1,1696,Health,East,0,1,2.96,2,4,1,0
41,19,2,3806,0,0,Auto,South,2,0,8.38,4,9,1,0
45,6,1,3224,1,2996,Auto,East,0,1,3.28,2,5,1,0
54,19,3,733,0,0,Auto,North,2,1,7.7,5,3,0,0
45,4,1,1891,0,0,Auto,East,2,0,25.13,4,3,1,1
32,7,2,3392,1,604,Life,East,0,1,18.46,1,6,1,0
29,4,3,1755,1,691,Health,South,0,0,6.82,2,0,0,0
57,12,1,3038,0,0,Life,West,1,1,26.15,4,8,0,1
59,13,1,4190,1,414,Auto,East,1,0,24.02,3,9,1,0
61,3,3,1389,1,1603,Home,North,0,1,22.61,4,2,1,0
41,12,1,1245,1,951,Life,East,0,0,25.43,3,3,1,0
56,2,2,2219,1,1026,Life,East,0,0,18.59,4,8,1,0
69,2,1,927,0,0,Health,South,0,1,15.04,2,4,1,0
46,9,2,1231,0,0,Home,West,0,0,11.22,3,3,0,0
56,1,1,1299,0,0,Health,West,0,1,6.71,5,5,1,0
46,8,1,4797,0,0,Life,West,1,0,16.72,4,0,1,0
50,6,2,1335,1,2957,Home,East,3,0,26.68,1,9,1,1
39,6,1,634,2,4456,Auto,South,1,1,17.82,5,0,1,0
67,18,1,3038,0,0,Life,South,2,0,27.59,2,4,1,1
39,17,1,4218,1,753,Home,East,1,1,10.71,4,4,0,0
23,12,1,540,1,1772,Health,South,1,0,20.85,3,8,1,0
56,6,1,3867,0,0,Health,West,0,0,19.46,3,0,1,0
37,8,1,2915,1,1388,Health,South,0,1,20.11,2,2,1,0
62,19,4,2540,2,698,Auto,East,1,0,19.35,2,2,0,0
57,10,1,4839,0,0,Auto,East,2,0,6.65,5,3,0,0
54,1,2,3449,1,856,Life,North,0,1,4.31,5,6,1,0
25,13,1,4761,0,0,Home,North,0,0,29.36,3,6,1,0
54,17,1,3966,1,492,Life,South,1,0,1.36,2,9,1,0
35,3,4,3588,0,0,Auto,South,0,1,14.03,5,4,1,0
42,8,1,1615,0,0,Auto,East,0,1,12.75,3,8,1,0
69,14,4,3090,1,1284,Life,North,1,0,10.8,3,6,0,0
41,3,1,4073,1,1812,Life,North,0,0,23.46,3,1,0,1
29,16,2,3478,2,1230,Home,West,1,1,22.36,3,2,0,1
28,13,2,2947,0,0,Health,West,2,0,27.16,3,6,0,1
24,17,3,1730,0,0,Auto,East,0,0,11.86,4,4,1,0
38,13,2,3166,1,1117,Health,East,0,1,16.93,3,6,1,0
54,6,2,4758,0,0,Auto,East,0,0,26.77,5,8,0,0
69,17,1,3094,1,1156,Health,East,0,0,29.82,3,8,0,0
33,14,1,3930,0,0,Life,North,1,1,29.08,4,2,1,0
43,17,4,3417,0,0,Health,East,0,1,21.54,3,7,1,0
43,8,1,3452,1,1994,Home,East,0,1,4.3,4,5,0,0
67,11,1,2495,0,0,Health,North,0,0,0.7,2,3,1,0
51,1,3,4391,0,0,Life,West,0,0,24.76,2,3,0,0
59,7,1,806,0,0,Home,East,0,1,25.23,5,3,0,0
59,17,4,1862,1,2853,Auto,West,1,0,22.39,2,6,1,0
66,10,2,2602,1,1701,Life,North,0,1,8.4,4,5,1,0
29,11,2,3530,1,2673,Home,West,0,0,19.19,5,1,1,0
48,9,3,832,1,2673,Auto,North,0,1,9.49,3,4,1,0
48,9,1,3252,0,0,Life,East,2,0,13.52,2,4,0,1
55,5,1,742,2,5524,Life,West,0,0,11.47,3,5,1,0
42,17,2,2384,1,1352,Auto,East,1,0,27.41,5,6,1,0
51,9,1,1932,1,1472,Auto,South,0,1,7.02,3,7,1,0
54,17,2,3050,1,940,Life,South,1,0,17.33,4,9,1,0
49,19,4,802,0,0,Life,West,0,1,10.83,4,7,0,0
68,7,2,4830,1,330,Health,North,2,0,19.89,3,4,1,1
54,9,1,3609,0,0,Health,West,1,0,16.94,4,1,1,0
26,7,4,2686,1,1912,Life,North,1,1,27.72,3,9,0,1
69,13,2,4790,0,0,Life,South,0,0,3.05,3,7,0,0
40,11,2,2050,0,0,Auto,North,1,0,6.62,4,5,0,0
25,14,1,2292,1,742,Auto,South,1,0,22.99,2,2,1,0
56,19,4,1146,2,4626,Health,West,0,1,11.06,3,3,0,0
38,11,2,1212,2,5930,Health,East,0,1,4.97,4,0,0,0
65,13,3,1037,1,2055,Health,East,1,0,15.1,4,2,1,0
49,14,3,734,2,4556,Health,East,0,0,19.56,3,3,0,0
51,13,1,2896,0,0,Home,North,1,0,1.34,4,1,0,0
50,1,2,2004,0,0,Auto,East,0,1,8.75,3,5,1,0
67,8,3,1874,0,0,Life,North,0,0,24.28,5,7,0,0
27,12,1,2409,0,0,Health,East,1,1,15.61,4,5,0,0
56,19,3,1415,2,5988,Health,North,0,0,1.06,3,9,0,0
62,12,4,4458,2,4026,Auto,North,3,1,8.46,3,2,0,1
58,8,2,580,1,1960,Health,South,2,0,19.17,4,8,1,1
45,8,2,2583,2,2538,Auto,South,1,1,5.98,5,3,1,0
50,13,3,3188,1,1921,Auto,West,1,0,24.82,2,5,1,0
67,12,3,2190,0,0,Health,South,2,0,20.3,3,3,0,1
52,16,1,1256,1,757,Home,North,0,1,14.14,2,3,0,0
56,1,1,3170,0,0,Auto,South,1,1,27.47,3,1,1,1
54,13,2,4251,3,6432,Auto,South,0,0,11.75,4,9,0,0
42,7,2,4052,0,0,Home,South,0,1,7.05,1,1,0,0
53,5,2,967,1,1328,Life,North,0,0,19.84,4,1,1,0
44,8,2,1994,1,1560,Life,North,1,0,17.2,5,1,1,0
54,14,1,1519,4,6096,Home,West,0,0,10.06,5,7,1,0
24,13,2,1401,2,2600,Auto,South,0,0,10.31,2,9,1,0
39,15,1,1172,1,1734,Home,South,1,1,11.95,4,3,0,0
46,17,2,938,1,1453,Life,North,0,0,8.73,5,3,1,0
63,15,2,4722,0,0,Auto,West,1,0,21.31,1,9,1,0
52,18,1,2576,1,2825,Life,West,1,0,19.54,3,9,0,0
24,18,1,944,0,0,Health,North,0,0,13.22,5,2,1,0
61,2,2,1465,0,0,Life,South,0,1,11.94,2,4,1,0
67,4,2,4290,0,0,Life,West,1,1,10.95,5,3,1,0
45,1,1,963,0,0,Life,West,0,0,8.5,3,6,0,0
53,4,4,2698,3,1533,Auto,South,0,0,2.57,1,9,1,0
68,18,2,2787,0,0,Health,West,0,1,8.05,3,6,0,0
43,5,4,4265,2,4402,Life,South,0,0,9.64,3,5,1,0
44,19,2,3676,3,8811,Health,West,0,0,16.43,3,6,0,0
23,15,2,4508,1,1597,Life,West,0,0,23.21,3,6,1,0
48,8,3,4004,0,0,Home,North,1,0,11.87,3,7,1,0
63,17,2,1412,0,0,Health,West,0,1,28.34,3,0,1,0
23,1,2,996,0,0,Health,South,1,0,24.82,1,2,0,1
47,12,1,1963,0,0,Auto,West,0,1,29.54,5,2,1,0
38,19,2,4753,0,0,Auto,North,0,0,26.29,3,4,0,0
61,15,1,4767,3,3003,Auto,West,1,0,18.5,5,9,1,0
54,9,1,993,2,876,Auto,East,1,1,17.95,5,6,1,0
30,7,1,1926,2,3950,Home,South,1,1,3.89,3,9,1,0
64,2,1,2192,2,3036,Life,East,1,1,21.67,1,5,1,1
69,9,4,2293,0,0,Home,North,1,0,18.01,5,3,1,0
60,10,1,3223,0,0,Auto,East,0,1,15.21,4,5,0,0
50,2,2,1158,0,0,Health,West,1,0,20.8,2,6,1,1
63,19,3,4962,1,1528,Auto,South,1,0,13.32,4,3,1,0
47,11,2,1049,0,0,Auto,East,3,1,15.72,1,7,0,1
56,13,1,1142,1,2455,Life,West,1,1,11.95,1,4,0,1
46,10,2,4850,0,0,Life,East,1,1,21.52,3,2,1,0
45,14,2,707,0,0,Home,West,0,1,26.3,1,1,1,0
34,18,2,2997,1,569,Health,West,2,0,25.23,5,0,0,0
28,19,3,4690,0,0,Health,East,3,0,23.58,5,3,1,0
57,9,4,2383,0,0,Auto,North,1,1,0.41,4,1,0,0
66,7,2,3386,2,1096,Health,South,1,0,27.36,1,2,1,1
41,3,1,977,0,0,Life,North,0,0,8.25,3,0,1,0
22,6,2,1261,1,651,Auto,East,1,0,26.64,3,5,0,1
